Id,Label,timeset,account,1,2,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
74,74,"<[8575044.0, 8864142.0]>",0xfebe0900f4af4ddd3e55e0e014982da5eedd1bc8,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
75,75,"<[8575044.0, 8864142.0]>",0x9063bf6d3fcb87a3f6cb892e85665fbbd5774965,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
76,76,"<[8575044.0, 8864142.0]>",0x287fa6a1d6496a0eb3557478ff81bac5146b67cb,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
77,77,"<[8575044.0, 8864142.0]>",0xef8e801cbb7570e34051db0e9d9622359bfd152e,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
78,78,"<[8575044.0, 8864142.0]>",0x5c55e8e84f3cf540d8149b4aa7edd370c6182ced,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
79,79,"<[8575044.0, 8864142.0]>",0xd856e835fd54fed9d93b9bd8c7ed47983cf76ea0,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
80,80,"<[8575044.0, 8864142.0]>",0x9f32c04c454aabb09f2dd7640db20c1fd186fe1f,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
81,81,"<[8575044.0, 8864142.0]>",0xbf4e7db416500ed8879b412babfd648ac14402cd,8575044,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
82,82,"<[8575152.0, 8864142.0]>",0x486708227b01c41c907750fc0675c5df12556213,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
83,83,"<[8575152.0, 8864142.0]>",0x029039513730d40ada72f1e3da3975a02ed51bc8,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
84,84,"<[8575152.0, 8864142.0]>",0x6dabfd84621c9687bbcf02cf462f22e8289f3c74,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
85,85,"<[8575152.0, 8864142.0]>",0x6b6ae3150c53029f312799e6cb0516baa6059dbe,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
86,86,"<[8575152.0, 8864142.0]>",0x0a518632fa85d80ca7ea117168dfc7c9489264b0,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
87,87,"<[8575152.0, 8864142.0]>",0xb773bdcf548b3991b30ae152a8a69caa386a0b79,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
88,88,"<[8575152.0, 8864142.0]>",0xba24b05df15a77a5b5697cddbc2ae8ddec95cd32,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
89,89,"<[8575152.0, 8864142.0]>",0xff8f3722abf21503789a61848048062c572c49e1,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
90,90,"<[8575152.0, 8864142.0]>",0x8dfd3f72d168bce6dcde105a3100331f53474966,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
91,91,"<[8575152.0, 8864142.0]>",0xa3dbc2c6180b96cb7596366c181907c6c96d9a37,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
92,92,"<[8575152.0, 8864142.0]>",0x44eada9ac578f1f7a9b0e142120f197905269d82,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
